"Informazioni cronologiche","Quanti anni hai?","Sesso?","Hai mai svolto la professione di Personal Trainer/istruttore in una palestra oppure online?","Fornisci i programmi di allenamento ai clienti che segui? Se sì, come li fornisci?","Sei hai risposto sì alla domanda precedente, quanto sei soddisfatto di questo mezzo?","Cosa miglioreresti?","Segui i progressi prestazionali dei tuoi clienti? Se sì, come li registri?","Sei hai risposto sì alla domanda precedente, quanto sei soddisfatto di questo mezzo?","Cosa miglioreresti?","Effettui le comunicazioni di servizio riguardanti la palestra ai tuoi clienti? Se sì, come?","Sei hai risposto sì alla domanda precedente, quanto sei soddisfatto di questo metodo?","Dai consigli ai tuoi clienti riguardo l'alimentazione da seguire?","Ti sei mai allenato in palestra?","Con che frequenza ti alleni?","In che modo organizzi il tuo allenamento?","Per quale motivo vai in palestra?","Su che supporto segui il tuo programma di allenamento?","In riferimento alla domanda precedente, quanto sei soddisfatto di questo mezzo?","Perché?","L'istruttore ti ha mai dato consigli riguardo l'alimentazione da seguire?","Porti il tuo smartphone in palestra?","Se porti il tuo smartphone in palestra, quanto pensi sia utile ai fini dell'allenamento?","Nella tua palestra riesci a connetterti ad internet?","Hai mai avuto bisogno che qualcuno ti spiegasse come usare uno specifico attrezzo in palestra? Se sì, a chi hai chiesto?","Registri i tuoi progressi prestazionali? Se sì, in che modo?","Sei hai risposto sì alla domanda precedente, sei soddisfatto di questo mezzo?","Perché?","Hai mai sentito la necessità di registrare/vedere i tuoi progressi prestazionali?","In che modo vorresti visualizzare i tuoi progressi?","In che modo ricevi comunicazioni riguardanti la palestra?","Sei hai risposto sì alla domanda precedente, sei soddisfatto di questo mezzo?","Perché?"
"2019/11/07 2:49:47 PM CET","Tra i 21 e i 30 anni","Maschio","No","","","","","","","","","","Sì","Due volte a settimana","L'istruttore mi fornisce un programma di allenamento","Per mantenere la forma fisica","A memoria","6","","Sì","Sì, lo porto con me durante gli esercizi","3","Non lo so","No, Non ne ho mai avuto bisogno","No, non li registro","1","","No","","Leggendo gli avvisi esposti in palestra","3",""
"2019/11/07 2:49:48 PM CET","Tra i 21 e i 30 anni","Femmina","No","","","","","","","","","","No","","","","","","","","","","","","","","","","","","",""
"2019/11/07 2:52:50 PM CET","Tra i 21 e i 30 anni","Maschio","No","","","","","","","","","","Sì","Una volta a settimana","L'istruttore mi fornisce un programma di allenamento","Per mantenere la forma fisica","Su una scheda cartacea","6","","No","Sì, ma lo lascio in borsa","2","Non lo so","Sì, all'istruttore","No, non li registro","","","No","","Non ricevo comunicazioni","",""
"2019/11/07 2:54:11 PM CET","20 anni o meno","Maschio","No","","","","","","","","","","Sì","Tre o più volte a settimana","L'istruttore mi fornisce un programma di allenamento","Per mantenere la forma fisica;Come integrazione ad un'altra attività sportiva esterna alla palestra","A memoria","6","","Sì","Sì, ma lo lascio in borsa","1","Sì","Sì, all'istruttore","No, non li registro","","","No","","Non ricevo comunicazioni","",""
"2019/11/07 2:54:34 PM CET","Tra i 21 e i 30 anni","Femmina","No","","","","","","","","","","Sì","Meno di una volta a settimana","Seguo il programma di un allenatore diverso dall'istruttore della palestra","Per mantenere la forma fisica;Per incrementare la mia forza;Per diventare come KARS","Su una scheda cartacea","1","Perchè perdo il pezzo di carta o esplode per autocombustione","Sì","Sì, lo porto con me durante gli esercizi","4","No","No, Non ne ho mai avuto bisogno","No, non li registro","","","Sì","Un modellino tridimensionale di me stessa  che cambia forma con l aumentare dei progressi","Non ricevo comunicazioni","",""
"2019/11/07 2:55:03 PM CET","Tra i 21 e i 30 anni","Maschio","No","","","","","","","","","","Sì","Tre o più volte a settimana","L'istruttore mi fornisce un programma di allenamento","Per mantenere la forma fisica;Per incrementare la mia massa muscolare;Per incrementare la mia forza;Come integrazione ad un'altra attività sportiva esterna alla palestra","Su una scheda cartacea","4","Si a qualche domanda???","No","Sì, lo porto con me durante gli esercizi","5","Sì","Sì, all'istruttore","Sì, uso una applicazione per smartphone","6","","","","Leggendo gli avvisi esposti in palestra","5",""
"2019/11/07 2:57:48 PM CET","Tra i 21 e i 30 anni","Maschio","No","","","","","","","","","","Sì","Tre o più volte a settimana","Seguo il programma di un allenatore diverso dall'istruttore della palestra","Per incrementare la mia forza;Come integrazione ad un'altra attività sportiva esterna alla palestra","Su una scheda cartacea","4","","Sì","Sì, lo porto con me durante gli esercizi","5","Sì","Sì, all'istruttore","No, non li registro","","","No","Grafico","Non ricevo comunicazioni","",""
"2019/11/07 3:01:20 PM CET","Tra i 21 e i 30 anni","Maschio","No","","","","","","","","","","Sì","Una volta a settimana","Uso una app per smartphone che mi fornisce un programma di allenamento","Per mantenere la forma fisica","","","","","Sì, lo porto con me durante gli esercizi","5","Sì","Sì, all'istruttore","No, non li registro","","","No","","Non ricevo comunicazioni","",""
"2019/11/07 3:01:38 PM CET","Tra i 21 e i 30 anni","Maschio","No","","","","","","","","","","Sì","Meno di una volta a settimana","L'istruttore mi fornisce un programma di allenamento","Per mantenere la forma fisica;Per svago","Su una scheda cartacea","1","","No","Sì, ma lo lascio in borsa","1","Sì","Sì, all'istruttore","No, non li registro","","","Sì","","Non ricevo comunicazioni","",""
"2019/11/07 3:03:51 PM CET","Tra i 21 e i 30 anni","Maschio","No","","","","","","","","","","Sì","Tre o più volte a settimana","Gestisco il mio allenamento autonomamente","Per incrementare la mia massa muscolare","","","","","Sì, lo porto con me durante gli esercizi","5","Sì","Sì, all'istruttore","Tramite un dietologo","","","","","Leggendo gli avvisi esposti in palestra","",""
"2019/11/07 3:04:59 PM CET","Tra i 21 e i 30 anni","Maschio","No","","","","","","","","","","Sì","Tre o più volte a settimana","Seguo il programma di un allenatore diverso dall'istruttore della palestra","Faccio uno sport di sollevamento pesi","PDF inviato dal coach","3","Scomodo come strumento","Sì","Sì, lo porto con me durante gli esercizi","7","Sì","Sì, all'istruttore","Sì, Il mio personal trainer li registra per me","4","Preferirei avere più insight sui progressi, tipo grafici","","","Non ricevo comunicazioni","",""
"2019/11/07 3:06:12 PM CET","Tra i 21 e i 30 anni","Maschio","No","","","","","","","","","","Sì","Tre o più volte a settimana","Gestisco il mio allenamento autonomamente","Non vado più in palestra, ho indicato che mi sono ancora allenato, non che mi alleno attualmente...","","","","","Non ci vado","","Non lo so","Sì, all'istruttore","No, non li registro","","","No","","Non ricevo comunicazioni","",""
"2019/11/07 3:08:42 PM CET","Tra i 21 e i 30 anni","Femmina","No","","","","","","","","","","No","","","","","","","","","","","","","","","","","","",""
"2019/11/07 3:09:28 PM CET","Tra i 21 e i 30 anni","Maschio","No","","","","","","","","","","Sì","Due volte a settimana","L'istruttore mi fornisce un programma di allenamento","Per incrementare la mia massa muscolare","Sullo smartphone","6","","Sì","Sì, lo porto con me durante gli esercizi","6","Sì","Sì, all'istruttore","Sì, uso una applicazione per smartphone","6","","","","A voce dall'istruttore","4",""
"2019/11/07 3:12:16 PM CET","20 anni o meno","Femmina","No","","","","","","","","","","Sì","Tre o più volte a settimana","Gestisco il mio allenamento autonomamente","Per mantenere la forma fisica;Per svago","","","","","Sì, lo porto con me durante gli esercizi","3","Sì","Sì, ad altri clienti della palestra","No, non li registro","","","No","","Leggendo gli avvisi esposti in palestra","6",""
"2019/11/07 3:13:05 PM CET","20 anni o meno","Maschio","No","","","","","","","","","","No","","","","","","","","","","","","","","","","","","",""
"2019/11/07 3:13:28 PM CET","Tra i 21 e i 30 anni","Maschio","No","","","","","","","","","","No","","","","","","","","","","","","","","","","","","",""
"2019/11/07 3:15:30 PM CET","Tra i 31 e i 40 anni","Maschio","No","","","","","","","","","","Sì","Tre o più volte a settimana","L'istruttore mi fornisce un programma di allenamento","Per mantenere la forma fisica;Seguo un corso offerto dalla palestra;Per svago","L'istruttore mi segue esercizio per esercizio","7","Perché se sbaglio me lo dicono","No","Sì, ma lo lascio in borsa","1","Sì","Sì, all'istruttore","No, non li registro","1","800a","No","se sono dimagrito e/o ho messo su massa e/o mi è migliorato il fiato, vuol dire che ho progredito","Leggendo gli avvisi esposti in palestra","7","Perché sono bene esposti"
"2019/11/07 3:15:53 PM CET","Tra i 21 e i 30 anni","Preferisco non specificare","No","","","","","","","","","","No","","","","","","","","","","","","","","","","","","",""
"2019/11/07 3:15:59 PM CET","20 anni o meno","Maschio","No","","","","","","","","","","No","","","","","","","","","","","","","","","","","","",""
"2019/11/07 3:16:57 PM CET","20 anni o meno","😏","No","","","","","","","","","","No","","","","","","","","","","","","","","","","","","",""
"2019/11/07 3:17:01 PM CET","20 anni o meno","Maschio","No","","","","","","","","","","Sì","Tre o più volte a settimana","Seguo il programma fornitomi da miei amici / parenti","Per mantenere la forma fisica;Per incrementare la mia massa muscolare;Per incrementare la mia forza;Per svago","Sullo smartphone","7","","No","Sì, lo porto con me durante gli esercizi","4","Sì","Sì, all'istruttore","Sì, uso una applicazione per smartphone","5","","","","Non ricevo comunicazioni","7",""
"2019/11/07 3:17:10 PM CET","Tra i 31 e i 40 anni","Femmina","No","","","","","","","","","","Sì","Meno di una volta a settimana","Gestisco il mio allenamento autonomamente","Per mantenere la forma fisica","","","","","Sì, lo porto con me durante gli esercizi","4","Sì","Sì, all'istruttore","No, non li registro","","","No","","Non ricevo comunicazioni","",""
"2019/11/07 3:17:59 PM CET","Tra i 21 e i 30 anni","Maschio","No","","","","","","","","","","Sì","Una volta a settimana","Gestisco il mio allenamento autonomamente","Per svago","","","","","Sì, ma lo lascio in borsa","1","Sì","No, Non ne ho mai avuto bisogno","No, non li registro","","","No","","Non ricevo comunicazioni","",""
"2019/11/07 3:18:03 PM CET","20 anni o meno","Elicottero ","No","","","","","","","","","","Sì","Meno di una volta a settimana","Gestisco il mio allenamento autonomamente","Per incrementare la mia massa muscolare","","","","","Sì, lo porto con me durante gli esercizi","4","Sì","Sì, all'istruttore","No, non li registro","","","Sì","","Non ricevo comunicazioni","",""
"2019/11/07 3:18:04 PM CET","20 anni o meno","Maschio","No","","","","","","","","","","Sì","Tre o più volte a settimana","Seguo il programma di un allenatore diverso dall'istruttore della palestra","Per incrementare la mia forza;Faccio uno sport di sollevamento pesi","Su una scheda cartacea","7","è molto meglio perchè se utilizzassi lo smartphone mi perderei in cavolate e non mi allenerei correttamente","No","Sì, ma lo lascio in borsa","1","Sì","No, Non ne ho mai avuto bisogno","Sì, uso un supporto cartaceo","7","","","","Tramite messaggio per telefono","7","è pratico e veloce"
"2019/11/07 3:18:13 PM CET","20 anni o meno","Maschio","No","","","","","","","","","","No","","","","","","","","","","","","","","","","","","",""
"2019/11/07 3:19:14 PM CET","Tra i 51 e i 60 anni","Femmina","No","","","","","","","","","","No","","","","","","","","","","","","","","","","","","",""
"2019/11/07 3:19:54 PM CET","20 anni o meno","Femmina","No","","","","","","","","","","Sì","Meno di una volta a settimana","Gestisco il mio allenamento autonomamente","Per mantenere la forma fisica","","","","","Sì, lo porto con me durante gli esercizi","3","Non lo so","Sì, all'istruttore","No, non li registro","7","","Sì","","Tramite messaggio per telefono","6",""
"2019/11/07 3:20:18 PM CET","20 anni o meno","Maschio","No","","","","","","","","","","Sì","Meno di una volta a settimana","Seguo il programma fornitomi da miei amici / parenti","Per mantenere la forma fisica;Per incrementare la mia massa muscolare;Per incrementare la mia forza","A memoria","5","","Sì","Sì, ma lo lascio in borsa","3","No","Sì, ad amici","No, non li registro","","","No","","Non ricevo comunicazioni","",""
"2019/11/07 3:20:38 PM CET","20 anni o meno","Maschio","No","","","","","","","","","","No","","","","","","","","","","","","","","","","","","",""
"2019/11/07 3:20:43 PM CET","20 anni o meno","Femmina","No","","","","","","","","","","Sì","Tre o più volte a settimana","Gestisco il mio allenamento autonomamente","Per mantenere la forma fisica;Come integrazione ad un'altra attività sportiva esterna alla palestra","","","","","Sì, lo porto con me durante gli esercizi","4","No","Sì, ad amici","No, non li registro","","","Sì","","Tramite messaggio per telefono","4",""
"2019/11/07 3:21:08 PM CET","Tra i 41 e i 50 anni","Femmina","No","","","","","","","","","","Sì","Tre o più volte a settimana","L'istruttore mi fornisce un programma di allenamento","Per mantenere la forma fisica;Per incrementare la mia massa muscolare","Su una scheda cartacea","4","","Sì","Sì, ma lo lascio in borsa","4","Non lo so","Sì, ad altri clienti della palestra","No, non li registro","","","No","","Non ricevo comunicazioni","",""
"2019/11/07 3:21:49 PM CET","20 anni o meno","Maschio","No","","","","","","","","","","No","","","","","","","","","","","","","","","","","","",""
"2019/11/07 3:23:44 PM CET","Tra i 51 e i 60 anni","Femmina","No","","","","","","","","","","No","","","","","","","","","","","","","","","","","","",""
"2019/11/07 3:24:33 PM CET","20 anni o meno","Maschio","No","","","","","","","","","","Sì","Tre o più volte a settimana","L'istruttore mi fornisce un programma di allenamento","Per mantenere la forma fisica;Per incrementare la mia massa muscolare;Per incrementare la mia forza","A memoria","7","","No","Sì, ma lo lascio in borsa","1","Sì","Sì, all'istruttore","No, non li registro","2","","No","","Leggendo gli avvisi esposti in palestra","1",""
"2019/11/07 3:24:46 PM CET","Tra i 21 e i 30 anni","Maschio","No","","","","","","","","","","No","","","","","","","","","","","","","","","","","","",""
"2019/11/07 3:27:04 PM CET","Tra i 41 e i 50 anni","Femmina","No","","","","","","","","","","No","","","","","","","","","","","","","","","","","","",""
"2019/11/07 3:27:48 PM CET","Tra i 51 e i 60 anni","Femmina","No","","","","","","","","","","Sì","Due volte a settimana","L'istruttore mi fornisce un programma di allenamento","Per mantenere la forma fisica","Su una scheda cartacea","3","","No","Sì, ma lo lascio in borsa","","Sì","Sì, all'istruttore","No, non li registro","","","No","","Tramite messaggio per telefono","",""
"2019/11/07 3:29:15 PM CET","20 anni o meno","Femmina","No","","","","","","","","","","Sì","Due volte a settimana","L'istruttore mi fornisce un programma di allenamento","Per incrementare la mia forza;Come integrazione ad un'altra attività sportiva esterna alla palestra","Su una scheda cartacea","7","Ho sottomano tutti gli esercizi che devo fare","No","Sì, ma lo lascio in borsa","2","Sì","Sì, all'istruttore","No, non li registro","","","Sì","Non so come si possano vedere ma sarei interessata a saperlo","Leggendo gli avvisi esposti in palestra","4","Perché ogni tanto non vado in palestra per un certo periodo e quindi non so se ci sono nuovi avvisi riguardanti soprattutto l'orario "
"2019/11/07 3:31:42 PM CET","20 anni o meno","Maschio","No","","","","","","","","","","No","","","","","","","","","","","","","","","","","","",""
"2019/11/07 3:33:46 PM CET","Tra i 31 e i 40 anni","Maschio","No","","","","","","","","","","Sì","Due volte a settimana","Gestisco il mio allenamento autonomamente","Per mantenere la forma fisica;Per incrementare la mia forza;Per svago","","","","","Sì, ma lo lascio in borsa","2","Sì","No, Non ne ho mai avuto bisogno","No, non li registro","","","No","","Non ricevo comunicazioni","",""
"2019/11/07 3:34:43 PM CET","20 anni o meno","Maschio","No","","","","","","","","","","Sì","Tre o più volte a settimana","Seguo il programma di un allenatore diverso dall'istruttore della palestra","Per incrementare la mia massa muscolare","Su una scheda cartacea","7","Comodo ","Sì","Sì, lo porto con me durante gli esercizi","2","Sì","Sì, all'istruttore","Sì, uso una applicazione per smartphone","7","Comodità","","","Tramite messaggio per telefono","7","Riesco a sapere se è chiusa senza andarci fisicamente"
"2019/11/07 3:36:11 PM CET","Tra i 21 e i 30 anni","Maschio","No","","","","","","","","","","Sì","Due volte a settimana","Gestisco il mio allenamento autonomamente","Per mantenere la forma fisica;Per incrementare la mia massa muscolare;Per incrementare la mia forza;Per svago","","","","","Sì, ma lo lascio in borsa","3","Non lo so","Sì, ho cercato su Internet","No, non li registro","","","No","","Non ricevo comunicazioni","",""
"2019/11/07 3:36:14 PM CET","Tra i 41 e i 50 anni","Femmina","No","","","","","","","","","","No","","","","","","","","","","","","","","","","","","",""
"2019/11/07 3:37:56 PM CET","20 anni o meno","Maschio","No","","","","","","","","","","Sì","Due volte a settimana","L'istruttore mi fornisce un programma di allenamento","Per incrementare la mia massa muscolare","Su una scheda cartacea","7","","No","Sì, ma lo lascio in borsa","1","No","Sì, all'istruttore","No, non li registro","","","No","","Non ricevo comunicazioni","",""
"2019/11/07 3:39:24 PM CET","20 anni o meno","Maschio","No","","","","","","","","","","Sì","Meno di una volta a settimana","L'istruttore mi fornisce un programma di allenamento","Come integrazione ad un'altra attività sportiva esterna alla palestra","L'istruttore mi segue esercizio per esercizio","6","","No","Sì, ma lo lascio in borsa","4","Sì","Sì, all'istruttore","No, non li registro","","","No","","Non ricevo comunicazioni","",""
"2019/11/07 3:41:59 PM CET","20 anni o meno","Maschio","No","","","","","","","","","","No","","","","","","","","","","","","","","","","","","",""
"2019/11/07 3:42:41 PM CET","Tra i 21 e i 30 anni","Femmina","No","","","","","","","","","","No","","","","","","","","","","","","","","","","","","",""
"2019/11/07 3:43:58 PM CET","Tra i 21 e i 30 anni","Maschio","No","","","","","","","","","","No","","","","","","","","","","","","","","","","","","",""
"2019/11/07 3:44:05 PM CET","Tra i 21 e i 30 anni","Maschio","No","","","","","","","","","","No","","","","","","","","","","","","","","","","","","",""
"2019/11/07 3:46:04 PM CET","20 anni o meno","Maschio","No","","","","","","","","","","Sì","Tre o più volte a settimana","L'istruttore mi fornisce un programma di allenamento","Per incrementare la mia massa muscolare;Per svago","Sullo smartphone","4","","No","Sì, lo porto con me durante gli esercizi","2","Sì","Sì, all'istruttore","No, non li registro","","","No","","Non ricevo comunicazioni","",""
"2019/11/07 3:46:24 PM CET","20 anni o meno","Maschio","No","","","","","","","","","","Sì","Tre o più volte a settimana","L'istruttore mi fornisce un programma di allenamento","Per mantenere la forma fisica;Per incrementare la mia massa muscolare;Per incrementare la mia forza;Come integrazione ad un'altra attività sportiva esterna alla palestra;Per svago","Su una scheda cartacea","5","La scheda cartacea è uno strumento versatile, ma una soluzione tipo app per segnare di volta in volta i progressi e avere delle statistiche sarebbe utile. ","No","Sì, ma lo lascio in borsa","1","Sì","Sì, all'istruttore","No, non li registro","","","Sì","Grafico di carico/ripetizioni per ogni esercizio ","Tramite un Social Network (ad esempio Facebook)","5",""
"2019/11/07 3:46:42 PM CET","20 anni o meno","Maschio","No","","","","","","","","","","Sì","Tre o più volte a settimana","Seguo il programma fornitomi da miei amici / parenti","Per mantenere la forma fisica;Per incrementare la mia massa muscolare;Per incrementare la mia forza;Come integrazione ad un'altra attività sportiva esterna alla palestra","Su una scheda cartacea","7","","No","Sì, lo porto con me durante gli esercizi","6","Sì","Sì, ho cercato su Internet","Sì, uso un supporto cartaceo","7","","","","Non ricevo comunicazioni","",""
"2019/11/07 3:47:00 PM CET","Tra i 21 e i 30 anni","Maschio","No","","","","","","","","","","No","","","","","","","","","","","","","","","","","","",""
"2019/11/07 3:49:03 PM CET","Tra i 51 e i 60 anni","Femmina","No","","","","","","","","","","Sì","Una volta a settimana","L'istruttore mi fornisce un programma di allenamento","Per mantenere la forma fisica","Su una scheda cartacea","6","","No","Sì, lo porto con me durante gli esercizi","1","Non lo so","Sì, all'istruttore","No, non li registro","1","","No","","Non ricevo comunicazioni","",""
"2019/11/07 3:50:43 PM CET","Tra i 21 e i 30 anni","Femmina","No","","","","","","","","","","No","","","","","","","","","","","","","","","","","","",""
"2019/11/07 3:52:33 PM CET","Tra i 21 e i 30 anni","Maschio","No","","","","","","","","","","Sì","Tre o più volte a settimana","L'istruttore mi fornisce un programma di allenamento","Per mantenere la forma fisica","Su una scheda cartacea","4","","Sì","Sì, ma lo lascio in borsa","2","Non lo so","Sì, all'istruttore","No, non li registro","","","No","","Tramite messaggio per telefono","3",""
